date,country,product_type,revenue
2018-07-19,Spain,Fence,1381
2018-07-19,Germany,Fence,1266
2018-07-19,Zimbabwe,Fence,1454
2018-07-19,Brazil,Sensoric Cables,1524
2018-07-19,Germany,Monitoring Cameras,1057
2018-07-19,Sweden,Sensoric Cables,1556
2018-07-19,Sweden,Sensoric Cables,1202
2018-07-20,Spain,Sensoric Cables,1817
2018-07-20,Zimbabwe,Fence,1756
2018-07-20,United States of America,Fence,1295
2018-07-20,Brazil,Sensoric Cables,1817
2018-07-20,Zimbabwe,Sensoric Cables,1169
2018-07-20,United States of America,Monitoring Cameras,1019
2018-07-20,Germany,Monitoring Cameras,1878
2018-07-20,United States of America,Fence,1093
2018-07-21,Germany,Monitoring Cameras,1131
2018-07-21,United States of America,Fence,1207
2018-07-21,Sweden,Monitoring Cameras,1699
2018-07-21,Sweden,Monitoring Cameras,1544
2018-07-22,Zimbabwe,Fence,1137
2018-07-23,Germany,Fence,1815
2018-07-23,Sweden,Fence,1669
2018-07-23,Sweden,Monitoring Cameras,1768
2018-07-23,Germany,Monitoring Cameras,1251
2018-07-23,Germany,Monitoring Cameras,1191
2018-07-24,Sweden,Fence,1383
2018-07-24,Germany,Fence,1645
2018-07-24,Zimbabwe,Monitoring Cameras,1679
2018-07-24,Brazil,Fence,1679
2018-07-24,Spain,Monitoring Cameras,1853
2018-07-24,United States of America,Fence,1017
2018-07-25,Brazil,Sensoric Cables,1497
2018-07-25,Zimbabwe,Fence,1984
2018-07-25,Spain,Sensoric Cables,1913
2018-07-26,United States of America,Fence,1323
2018-07-26,Sweden,Fence,1545
2018-07-26,Brazil,Sensoric Cables,1493
2018-07-26,Sweden,Sensoric Cables,1182
2018-07-26,United States of America,Monitoring Cameras,1733
2018-07-26,Germany,Monitoring Cameras,1985
2018-07-26,Germany,Fence,1041
2018-07-26,Germany,Monitoring Cameras,1542
2018-07-26,United States of America,Monitoring Cameras,1144
2018-07-26,Spain,Monitoring Cameras,1086
2018-07-26,Brazil,Fence,1422
2018-07-27,Spain,Sensoric Cables,1274
2018-07-27,Sweden,Monitoring Cameras,1122
2018-07-27,Zimbabwe,Fence,1830
2018-07-27,Germany,Monitoring Cameras,1770
2018-07-27,Brazil,Monitoring Cameras,1684
2018-07-27,United States of America,Fence,1895
2018-07-27,Brazil,Monitoring Cameras,1545
2018-07-27,Germany,Monitoring Cameras,1215
2018-07-27,Spain,Fence,1376
2018-07-27,Germany,Sensoric Cables,1253
2018-07-28,United States of America,Fence,1353
2018-07-28,Brazil,Fence,1578
2018-07-28,Germany,Sensoric Cables,1798
2018-07-28,Spain,Sensoric Cables,1266
2018-07-28,Germany,Sensoric Cables,1177
2018-07-29,United States of America,Fence,1318
2018-07-29,Germany,Monitoring Cameras,1706
2018-07-29,Sweden,Fence,1574
2018-07-29,Zimbabwe,Sensoric Cables,1395
2018-07-29,United States of America,Sensoric Cables,1486
2018-07-29,Sweden,Sensoric Cables,1152
2018-07-30,Germany,Monitoring Cameras,1520
2018-07-30,Sweden,Sensoric Cables,1525
2018-07-30,Sweden,Sensoric Cables,1251
2018-07-30,Brazil,Fence,1138
2018-07-30,United States of America,Sensoric Cables,1237
2018-07-30,United States of America,Fence,1431
2018-07-30,Brazil,Fence,1705
2018-07-31,Spain,Monitoring Cameras,1697
2018-07-31,United States of America,Sensoric Cables,1988
2018-07-31,Spain,Fence,1230
2018-07-31,Sweden,Fence,1309
2018-07-31,Germany,Fence,1791
2018-07-31,Spain,Monitoring Cameras,1085
2018-07-31,Sweden,Monitoring Cameras,1228
2018-07-31,Spain,Monitoring Cameras,1381
2018-08-01,Germany,Fence,1440
2018-08-01,Germany,Sensoric Cables,1327
2018-08-01,Brazil,Sensoric Cables,1775
2018-08-01,United States of America,Sensoric Cables,1683
2018-08-01,Brazil,Sensoric Cables,1262
2018-08-01,United States of America,Fence,1211
2018-08-01,Brazil,Sensoric Cables,1512
2018-08-01,Spain,Monitoring Cameras,1490
2018-08-02,Germany,Fence,1736
2018-08-02,Sweden,Fence,1486
2018-08-02,Zimbabwe,Fence,1401
2018-08-02,Sweden,Monitoring Cameras,1341
2018-08-02,Zimbabwe,Sensoric Cables,1710
2018-08-02,Germany,Sensoric Cables,1596
2018-08-02,Spain,Monitoring Cameras,1243
2018-08-03,United States of America,Sensoric Cables,1698
2018-08-03,Brazil,Monitoring Cameras,1472
2018-08-03,Germany,Fence,1264
2018-08-03,Spain,Monitoring Cameras,1277
2018-08-03,Spain,Sensoric Cables,1197
2018-08-04,Germany,Sensoric Cables,1044
2018-08-04,Spain,Fence,1021
2018-08-04,Sweden,Sensoric Cables,1456
2018-08-04,Spain,Monitoring Cameras,1655
2018-08-05,Brazil,Monitoring Cameras,1689
2018-08-05,Brazil,Sensoric Cables,1245
2018-08-05,Zimbabwe,Sensoric Cables,1179
2018-08-05,Zimbabwe,Fence,1303
2018-08-05,United States of America,Monitoring Cameras,1733
2018-08-05,Spain,Monitoring Cameras,1944
2018-08-05,Brazil,Fence,1343
2018-08-05,Sweden,Sensoric Cables,1976
2018-08-05,United States of America,Fence,1729
2018-08-05,Zimbabwe,Sensoric Cables,1013
2018-08-06,United States of America,Sensoric Cables,1446
2018-08-06,Germany,Monitoring Cameras,1567
2018-08-06,United States of America,Sensoric Cables,1654
2018-08-06,Brazil,Fence,1473
2018-08-06,Spain,Fence,1914
2018-08-06,Germany,Sensoric Cables,1539
2018-08-06,United States of America,Fence,1811
2018-08-06,United States of America,Sensoric Cables,1828
2018-08-06,Spain,Fence,1455
2018-08-06,Zimbabwe,Fence,1378
2018-08-06,Spain,Monitoring Cameras,1985
2018-08-06,Brazil,Fence,1689
2018-08-06,Sweden,Sensoric Cables,1861
2018-08-06,Sweden,Monitoring Cameras,1402
2018-08-06,Germany,Monitoring Cameras,1586
2018-08-06,Spain,Fence,1891
2018-08-07,Germany,Sensoric Cables,1622
2018-08-07,Spain,Sensoric Cables,1314
2018-08-07,Brazil,Monitoring Cameras,1844
2018-08-07,Germany,Monitoring Cameras,1540
2018-08-07,United States of America,Fence,1836
2018-08-07,Brazil,Monitoring Cameras,1781
2018-08-07,Brazil,Monitoring Cameras,1277
2018-08-07,Zimbabwe,Sensoric Cables,1421
2018-08-07,Spain,Fence,1133
2018-08-07,Germany,Sensoric Cables,1731
2018-08-07,Brazil,Monitoring Cameras,1831
2018-08-07,Brazil,Monitoring Cameras,1950
2018-08-07,Zimbabwe,Fence,1508
2018-08-08,Germany,Monitoring Cameras,1913
2018-08-08,Germany,Monitoring Cameras,1344
2018-08-08,Spain,Fence,1055
2018-08-08,Spain,Fence,1509
2018-08-08,Zimbabwe,Monitoring Cameras,1349
2018-08-08,United States of America,Monitoring Cameras,1515
2018-08-08,Zimbabwe,Fence,1519
2018-08-08,Zimbabwe,Monitoring Cameras,1170
2018-08-08,Spain,Monitoring Cameras,1163
2018-08-09,Spain,Fence,1748
2018-08-09,Sweden,Monitoring Cameras,1112
2018-08-09,Zimbabwe,Fence,1908
2018-08-09,Spain,Monitoring Cameras,1632
2018-08-09,Germany,Sensoric Cables,1936
2018-08-09,Sweden,Fence,1902
2018-08-09,Germany,Fence,1173
2018-08-09,Brazil,Fence,1434
2018-08-10,Sweden,Sensoric Cables,1812
2018-08-10,Zimbabwe,Sensoric Cables,1678
2018-08-10,United States of America,Fence,1882
2018-08-10,United States of America,Monitoring Cameras,1390
2018-08-10,Spain,Fence,1892
2018-08-11,Sweden,Sensoric Cables,1931
2018-08-11,Germany,Fence,1989
2018-08-11,United States of America,Fence,1214
2018-08-11,United States of America,Monitoring Cameras,1244
2018-08-12,Spain,Fence,1388
2018-08-12,Spain,Sensoric Cables,1465
2018-08-12,Sweden,Sensoric Cables,1170
2018-08-12,Brazil,Sensoric Cables,1583
2018-08-12,Zimbabwe,Sensoric Cables,1571
2018-08-12,Sweden,Monitoring Cameras,1619
2018-08-12,Zimbabwe,Sensoric Cables,1396
2018-08-13,Brazil,Sensoric Cables,1260
2018-08-13,Germany,Monitoring Cameras,1602
2018-08-13,Brazil,Monitoring Cameras,1198
2018-08-13,United States of America,Fence,1904
2018-08-13,Spain,Fence,1901
2018-08-13,Brazil,Sensoric Cables,1196
2018-08-14,Brazil,Sensoric Cables,1875
2018-08-14,Germany,Fence,1783
2018-08-14,Sweden,Monitoring Cameras,1992
2018-08-14,Germany,Monitoring Cameras,1030
2018-08-14,Spain,Monitoring Cameras,1746
2018-08-14,Brazil,Monitoring Cameras,1700
2018-08-14,Germany,Sensoric Cables,1464
2018-08-15,Spain,Fence,1571
2018-08-15,Sweden,Sensoric Cables,1211
2018-08-15,Zimbabwe,Sensoric Cables,1609
2018-08-15,United States of America,Sensoric Cables,1581
2018-08-15,Sweden,Sensoric Cables,1240
2018-08-16,Brazil,Monitoring Cameras,1666
2018-08-16,Sweden,Sensoric Cables,1691
2018-08-16,Brazil,Sensoric Cables,1080
2018-08-16,Brazil,Fence,1521
2018-08-16,United States of America,Fence,1097
2018-08-16,Germany,Fence,1725
2018-08-17,Germany,Fence,1438
2018-08-17,Spain,Fence,1690
2018-08-17,Sweden,Sensoric Cables,1401
2018-08-17,Brazil,Fence,1913
2018-08-17,Brazil,Fence,1958
2018-08-17,Zimbabwe,Sensoric Cables,1037
2018-08-17,Germany,Fence,1198
2018-08-17,Germany,Sensoric Cables,1112
2018-08-17,Zimbabwe,Sensoric Cables,1898
2018-08-18,Germany,Monitoring Cameras,1324
2018-08-18,Germany,Monitoring Cameras,1506
2018-08-18,Zimbabwe,Sensoric Cables,1319
2018-08-18,Sweden,Monitoring Cameras,1868
2018-08-18,Sweden,Monitoring Cameras,1557
2018-08-18,United States of America,Fence,1733
2018-08-18,Sweden,Fence,1676
2018-08-19,Sweden,Monitoring Cameras,1238
2018-08-19,Sweden,Monitoring Cameras,1293
2018-08-20,Zimbabwe,Monitoring Cameras,1541
2018-08-20,Zimbabwe,Monitoring Cameras,1651
2018-08-20,United States of America,Monitoring Cameras,1059
2018-08-20,Zimbabwe,Sensoric Cables,1145
2018-08-20,Zimbabwe,Sensoric Cables,1799
2018-08-20,Spain,Monitoring Cameras,1296
2018-08-20,Germany,Sensoric Cables,1167
2018-08-21,Brazil,Monitoring Cameras,1610
2018-08-21,Sweden,Monitoring Cameras,1886
2018-08-21,Zimbabwe,Fence,1177
2018-08-21,Brazil,Fence,1960
2018-08-21,United States of America,Monitoring Cameras,1373
2018-08-21,Brazil,Fence,1342
2018-08-22,Brazil,Fence,1715
2018-08-22,Germany,Fence,1212
2018-08-22,Zimbabwe,Monitoring Cameras,1861
2018-08-22,Sweden,Fence,1893
2018-08-22,Sweden,Sensoric Cables,1356
2018-08-22,United States of America,Monitoring Cameras,1660
2018-08-22,Germany,Monitoring Cameras,1243
2018-08-23,Brazil,Sensoric Cables,1616
2018-08-23,Spain,Fence,1627
2018-08-23,Zimbabwe,Monitoring Cameras,1590
2018-08-23,United States of America,Sensoric Cables,1689
2018-08-23,United States of America,Sensoric Cables,1527
2018-08-23,Germany,Fence,1868
2018-08-23,United States of America,Monitoring Cameras,1541
2018-08-23,Zimbabwe,Monitoring Cameras,1263
2018-08-23,Brazil,Fence,1883
2018-08-23,United States of America,Monitoring Cameras,1125
2018-08-23,Spain,Monitoring Cameras,1585
2018-08-23,Spain,Monitoring Cameras,1664
2018-08-23,Zimbabwe,Monitoring Cameras,1537
2018-08-24,Germany,Sensoric Cables,1466
2018-08-24,United States of America,Fence,1657
2018-08-24,Germany,Monitoring Cameras,1191
2018-08-24,Brazil,Sensoric Cables,1935
2018-08-25,Sweden,Fence,1997
2018-08-25,Sweden,Fence,1163
2018-08-25,Brazil,Fence,1300
2018-08-25,United States of America,Fence,1270
2018-08-25,United States of America,Monitoring Cameras,1939
2018-08-25,Spain,Monitoring Cameras,1290
2018-08-25,Spain,Fence,1199
2018-08-25,Germany,Fence,1267
2018-08-25,United States of America,Sensoric Cables,1120
2018-08-25,Brazil,Sensoric Cables,1288
2018-08-25,Brazil,Sensoric Cables,1509
2018-08-25,Brazil,Sensoric Cables,1106
2018-08-26,Sweden,Sensoric Cables,1972
2018-08-26,Spain,Fence,1195
2018-08-26,Brazil,Fence,1125
2018-08-26,Germany,Monitoring Cameras,1900
2018-08-26,Spain,Sensoric Cables,1129
2018-08-26,Sweden,Sensoric Cables,1931
2018-08-26,Zimbabwe,Monitoring Cameras,1403
2018-08-26,Spain,Sensoric Cables,1974
2018-08-27,United States of America,Fence,1160
2018-08-27,Zimbabwe,Monitoring Cameras,1524
2018-08-27,United States of America,Sensoric Cables,1205
2018-08-27,United States of America,Fence,1576
2018-08-27,Spain,Sensoric Cables,1034
2018-08-27,United States of America,Sensoric Cables,1173
2018-08-27,Brazil,Fence,1220
2018-08-27,United States of America,Sensoric Cables,1018
2018-08-28,United States of America,Sensoric Cables,1449
2018-08-28,Germany,Sensoric Cables,1370
2018-08-28,Sweden,Fence,1246
2018-08-28,United States of America,Monitoring Cameras,1280
2018-08-29,Germany,Fence,1449
2018-08-29,Germany,Fence,1941
2018-08-29,Sweden,Fence,1234
2018-08-29,Brazil,Fence,1511
2018-08-29,Spain,Sensoric Cables,1579
2018-08-29,Spain,Monitoring Cameras,1797
2018-08-29,United States of America,Fence,1695
2018-08-29,Germany,Fence,1898
2018-08-29,Zimbabwe,Sensoric Cables,1398
2018-08-29,Spain,Fence,1030
2018-08-29,Brazil,Monitoring Cameras,1818
2018-08-29,Spain,Monitoring Cameras,1649
2018-08-29,Sweden,Monitoring Cameras,1022
2018-08-30,Spain,Sensoric Cables,1499
2018-08-30,Germany,Monitoring Cameras,1826
2018-08-30,Spain,Sensoric Cables,1870
2018-08-30,Spain,Fence,1626
2018-08-30,Spain,Fence,1984
2018-08-31,United States of America,Monitoring Cameras,1691
2018-08-31,Zimbabwe,Fence,1814
2018-08-31,Spain,Fence,1152
2018-08-31,Zimbabwe,Monitoring Cameras,1325
2018-08-31,Brazil,Sensoric Cables,1814
2018-08-31,Brazil,Fence,1062
2018-08-31,Sweden,Sensoric Cables,1630
2018-08-31,Sweden,Monitoring Cameras,1473
2018-09-01,Sweden,Fence,1082
2018-09-01,Brazil,Sensoric Cables,1864
2018-09-01,United States of America,Monitoring Cameras,1988
2018-09-01,United States of America,Fence,1023
2018-09-01,Brazil,Sensoric Cables,1668
2018-09-01,Germany,Fence,1126
2018-09-01,Germany,Monitoring Cameras,1589
2018-09-01,Sweden,Fence,1889
2018-09-01,Germany,Fence,1425
2018-09-02,Sweden,Monitoring Cameras,1663
2018-09-02,Spain,Sensoric Cables,1451
2018-09-02,Sweden,Fence,1179
2018-09-02,Sweden,Monitoring Cameras,1415
2018-09-02,Zimbabwe,Fence,1676
2018-09-02,Germany,Sensoric Cables,1024
2018-09-03,Germany,Fence,1901
2018-09-03,Brazil,Monitoring Cameras,1900
2018-09-03,Zimbabwe,Sensoric Cables,1874
2018-09-03,Sweden,Sensoric Cables,1853
2018-09-03,Brazil,Fence,1073
2018-09-04,Sweden,Sensoric Cables,1033
2018-09-04,United States of America,Monitoring Cameras,1337
2018-09-04,United States of America,Monitoring Cameras,1842
2018-09-04,Germany,Sensoric Cables,1026
2018-09-04,Sweden,Monitoring Cameras,1937
2018-09-04,United States of America,Sensoric Cables,1335
2018-09-04,United States of America,Monitoring Cameras,1292
2018-09-04,Sweden,Sensoric Cables,1383
2018-09-04,Brazil,Monitoring Cameras,1940
2018-09-04,Germany,Sensoric Cables,1465
2018-09-04,Brazil,Sensoric Cables,1514
2018-09-04,Germany,Fence,1988
2018-09-04,Brazil,Fence,1566
2018-09-05,Sweden,Fence,1454
2018-09-05,Sweden,Fence,1551
2018-09-05,United States of America,Fence,1006
2018-09-05,Germany,Sensoric Cables,1422
2018-09-05,United States of America,Sensoric Cables,1335
2018-09-05,Brazil,Sensoric Cables,1640
2018-09-05,Zimbabwe,Fence,1747
2018-09-06,Germany,Fence,1873
2018-09-06,Spain,Monitoring Cameras,1029
2018-09-06,Spain,Sensoric Cables,1146
2018-09-06,Spain,Sensoric Cables,1316
2018-09-07,Germany,Monitoring Cameras,1870
2018-09-07,Sweden,Fence,1623
2018-09-07,United States of America,Fence,1458
2018-09-07,United States of America,Monitoring Cameras,1970
2018-09-07,Germany,Monitoring Cameras,1001
2018-09-07,Sweden,Monitoring Cameras,1986
2018-09-07,Spain,Monitoring Cameras,1780
2018-09-07,Brazil,Sensoric Cables,1570
2018-09-07,Spain,Fence,1795
2018-09-07,Germany,Sensoric Cables,1749
2018-09-07,Germany,Monitoring Cameras,1647
2018-09-07,United States of America,Sensoric Cables,1648
2018-09-08,Zimbabwe,Sensoric Cables,1267
2018-09-08,Brazil,Monitoring Cameras,1602
2018-09-08,United States of America,Fence,1584
2018-09-08,Sweden,Sensoric Cables,1886
2018-09-08,Zimbabwe,Sensoric Cables,1297
2018-09-08,Germany,Fence,1401
2018-09-08,Brazil,Fence,1262
2018-09-08,Germany,Sensoric Cables,1850
2018-09-09,United States of America,Fence,1052
2018-09-09,United States of America,Sensoric Cables,1919
2018-09-09,United States of America,Monitoring Cameras,1578
2018-09-09,Spain,Sensoric Cables,1624
2018-09-09,Spain,Sensoric Cables,1040
2018-09-09,Spain,Monitoring Cameras,1781
2018-09-09,United States of America,Fence,1822
2018-09-10,Brazil,Sensoric Cables,1436
2018-09-10,Brazil,Fence,1003
2018-09-10,Brazil,Sensoric Cables,1236
2018-09-10,Germany,Fence,1646
2018-09-11,Zimbabwe,Sensoric Cables,1806
2018-09-11,Spain,Monitoring Cameras,1528
2018-09-11,Spain,Fence,1288
2018-09-11,United States of America,Sensoric Cables,1309
2018-09-11,Germany,Fence,1661
2018-09-12,Brazil,Sensoric Cables,1158
2018-09-12,Zimbabwe,Sensoric Cables,1758
2018-09-12,United States of America,Sensoric Cables,1676
2018-09-12,Sweden,Fence,1483
2018-09-12,United States of America,Monitoring Cameras,1447
2018-09-12,United States of America,Monitoring Cameras,1260
2018-09-13,Zimbabwe,Monitoring Cameras,1412
2018-09-13,Spain,Fence,1707
2018-09-13,Brazil,Fence,1857
2018-09-13,Spain,Sensoric Cables,1200
2018-09-13,Brazil,Sensoric Cables,1247
2018-09-13,United States of America,Monitoring Cameras,1382
2018-09-14,United States of America,Monitoring Cameras,1639
2018-09-14,Spain,Monitoring Cameras,1631
2018-09-14,Sweden,Monitoring Cameras,1923
2018-09-14,Germany,Sensoric Cables,1717
2018-09-14,Sweden,Monitoring Cameras,1940
2018-09-14,Sweden,Sensoric Cables,1170
2018-09-14,United States of America,Sensoric Cables,1581
2018-09-14,Sweden,Sensoric Cables,1427
2018-09-15,Sweden,Monitoring Cameras,1817
2018-09-15,Sweden,Fence,1622
2018-09-15,United States of America,Sensoric Cables,1971
2018-09-15,Zimbabwe,Monitoring Cameras,1470
2018-09-15,United States of America,Fence,1875
2018-09-15,United States of America,Monitoring Cameras,1716
2018-09-15,Zimbabwe,Sensoric Cables,1752
2018-09-15,United States of America,Sensoric Cables,1096
2018-09-16,Germany,Sensoric Cables,1806
2018-09-16,Germany,Sensoric Cables,1218
2018-09-16,Sweden,Fence,1981
2018-09-16,Sweden,Sensoric Cables,1615
2018-09-16,Germany,Sensoric Cables,1737
2018-09-16,Sweden,Sensoric Cables,1483
2018-09-16,Spain,Fence,1096
2018-09-16,Spain,Monitoring Cameras,1062
2018-09-17,Spain,Fence,1639
2018-09-17,Spain,Fence,1583
2018-09-17,Sweden,Monitoring Cameras,1828
2018-09-17,Germany,Sensoric Cables,1986
2018-09-17,Zimbabwe,Fence,1883
2018-09-17,Zimbabwe,Sensoric Cables,1342
2018-09-17,Brazil,Fence,1958
2018-09-18,Sweden,Monitoring Cameras,1496
2018-09-18,Germany,Monitoring Cameras,1882
2018-09-18,Brazil,Fence,1025
2018-09-18,Germany,Monitoring Cameras,1710
2018-09-18,Germany,Fence,1672
2018-09-18,United States of America,Sensoric Cables,1334
2018-09-18,Zimbabwe,Sensoric Cables,1328
2018-09-18,United States of America,Monitoring Cameras,1875
2018-09-18,Zimbabwe,Sensoric Cables,1296
2018-09-19,Zimbabwe,Sensoric Cables,1034
2018-09-19,United States of America,Monitoring Cameras,1907
2018-09-19,United States of America,Monitoring Cameras,1172
2018-09-19,Sweden,Fence,1761
2018-09-19,Germany,Fence,1743
2018-09-19,Sweden,Sensoric Cables,1067
2018-09-19,Brazil,Sensoric Cables,1568
2018-09-20,Sweden,Fence,1417
2018-09-20,Zimbabwe,Sensoric Cables,1650
2018-09-20,Spain,Monitoring Cameras,1026
2018-09-21,Spain,Sensoric Cables,1215
2018-09-21,Sweden,Monitoring Cameras,1632
2018-09-21,Germany,Sensoric Cables,1861
2018-09-21,Sweden,Fence,1950
2018-09-21,Spain,Fence,1471
2018-09-21,Spain,Monitoring Cameras,1012
2018-09-21,Germany,Monitoring Cameras,1414
2018-09-21,Brazil,Fence,1747
2018-09-22,Zimbabwe,Fence,1556
2018-09-22,Brazil,Monitoring Cameras,1859
2018-09-22,United States of America,Fence,1549
2018-09-22,United States of America,Monitoring Cameras,1834
2018-09-22,Brazil,Monitoring Cameras,1489
2018-09-22,Zimbabwe,Sensoric Cables,1596
2018-09-22,Zimbabwe,Fence,1487
2018-09-22,Zimbabwe,Fence,1200
2018-09-23,Zimbabwe,Monitoring Cameras,1985
2018-09-23,Brazil,Sensoric Cables,1391
2018-09-23,United States of America,Monitoring Cameras,1361
2018-09-23,Zimbabwe,Monitoring Cameras,1565
2018-09-23,Germany,Fence,1061
2018-09-23,Zimbabwe,Fence,1949
2018-09-23,Zimbabwe,Monitoring Cameras,1786
2018-09-23,Brazil,Fence,1606
2018-09-24,Brazil,Sensoric Cables,1609
2018-09-24,Sweden,Fence,1963
2018-09-25,Spain,Sensoric Cables,1389
2018-09-25,Spain,Sensoric Cables,1118
2018-09-25,United States of America,Monitoring Cameras,1230
2018-09-25,Spain,Monitoring Cameras,1805
2018-09-25,Sweden,Sensoric Cables,1554
2018-09-25,Zimbabwe,Monitoring Cameras,1050
2018-09-25,Germany,Sensoric Cables,1849
2018-09-25,Germany,Fence,1332
2018-09-25,United States of America,Sensoric Cables,1518
2018-09-25,United States of America,Monitoring Cameras,1780
2018-09-26,Zimbabwe,Monitoring Cameras,1942
2018-09-26,Sweden,Fence,1804
2018-09-26,Spain,Sensoric Cables,1251
2018-09-26,Sweden,Sensoric Cables,1426
2018-09-26,Germany,Monitoring Cameras,1712
2018-09-26,Sweden,Fence,1276
2018-09-27,Zimbabwe,Sensoric Cables,1685
2018-09-27,Zimbabwe,Sensoric Cables,1184
2018-09-27,Sweden,Fence,1076
2018-09-27,United States of America,Monitoring Cameras,1674
2018-09-27,Zimbabwe,Sensoric Cables,1930
2018-09-27,Sweden,Monitoring Cameras,1923
2018-09-28,United States of America,Sensoric Cables,1822
2018-09-28,Brazil,Monitoring Cameras,1512
2018-09-28,Zimbabwe,Monitoring Cameras,1847
2018-09-28,Spain,Sensoric Cables,1207
2018-09-28,Germany,Fence,1300
2018-09-28,Sweden,Monitoring Cameras,1251
2018-09-28,Germany,Sensoric Cables,1921
2018-09-28,United States of America,Sensoric Cables,1441
2018-09-28,Zimbabwe,Monitoring Cameras,1459
2018-09-28,Sweden,Monitoring Cameras,1858
2018-09-28,Zimbabwe,Sensoric Cables,1581
2018-09-28,Brazil,Monitoring Cameras,1085
2018-09-28,Germany,Fence,1834
2018-09-29,United States of America,Fence,1052
2018-09-29,United States of America,Monitoring Cameras,1021
2018-09-29,Zimbabwe,Sensoric Cables,1889
2018-09-29,Germany,Fence,1255
2018-09-29,Spain,Monitoring Cameras,1187
2018-09-30,Brazil,Sensoric Cables,1126
2018-09-30,Zimbabwe,Fence,1058
2018-09-30,Spain,Sensoric Cables,1193
2018-09-30,Spain,Fence,1038
2018-09-30,Sweden,Monitoring Cameras,1518
2018-10-01,Spain,Fence,1233
2018-10-01,Brazil,Sensoric Cables,1871
2018-10-01,Zimbabwe,Sensoric Cables,1776
2018-10-01,Sweden,Monitoring Cameras,1428
2018-10-01,United States of America,Sensoric Cables,1565
2018-10-01,Germany,Fence,1981
2018-10-01,Brazil,Fence,1450
2018-10-01,Brazil,Monitoring Cameras,1419
2018-10-01,Zimbabwe,Sensoric Cables,1666
2018-10-02,United States of America,Monitoring Cameras,1216
2018-10-02,Brazil,Monitoring Cameras,1181
2018-10-02,Spain,Sensoric Cables,1482
2018-10-02,Sweden,Sensoric Cables,1917
2018-10-02,United States of America,Sensoric Cables,1592
2018-10-02,Brazil,Sensoric Cables,1934
2018-10-02,Brazil,Sensoric Cables,1279
2018-10-02,Sweden,Sensoric Cables,1467
2018-10-03,Germany,Fence,1153
2018-10-03,Germany,Fence,1565
2018-10-03,United States of America,Fence,1360
2018-10-03,Zimbabwe,Sensoric Cables,1070
2018-10-03,Brazil,Monitoring Cameras,1446
2018-10-03,Sweden,Fence,1250
2018-10-04,United States of America,Sensoric Cables,1757
2018-10-04,Spain,Monitoring Cameras,1258
2018-10-04,United States of America,Sensoric Cables,1611
2018-10-04,Spain,Sensoric Cables,1866
2018-10-04,Spain,Monitoring Cameras,1353
2018-10-04,Brazil,Fence,1525
2018-10-04,Spain,Monitoring Cameras,1298
2018-10-04,United States of America,Fence,1479
2018-10-04,Spain,Sensoric Cables,1619
2018-10-04,Sweden,Sensoric Cables,1133
2018-10-05,Sweden,Fence,1550
2018-10-05,Zimbabwe,Fence,1326
2018-10-05,Sweden,Monitoring Cameras,1292
2018-10-05,Sweden,Monitoring Cameras,1586
2018-10-05,Zimbabwe,Sensoric Cables,1957
2018-10-06,United States of America,Sensoric Cables,1442
2018-10-06,Germany,Monitoring Cameras,1725
2018-10-06,Spain,Fence,1747
2018-10-06,Sweden,Monitoring Cameras,1679
2018-10-06,Germany,Fence,1387
2018-10-07,Germany,Fence,1744
2018-10-07,Brazil,Monitoring Cameras,1714
2018-10-07,Brazil,Sensoric Cables,1096
2018-10-07,Zimbabwe,Monitoring Cameras,1430
2018-10-07,Brazil,Monitoring Cameras,1422
2018-10-07,Zimbabwe,Sensoric Cables,1376
2018-10-07,Germany,Fence,1551
2018-10-07,Brazil,Monitoring Cameras,1235
2018-10-07,Sweden,Fence,1411
2018-10-07,Sweden,Fence,1506
2018-10-07,Zimbabwe,Fence,1385
2018-10-08,Spain,Monitoring Cameras,1687
2018-10-08,Sweden,Sensoric Cables,1448
2018-10-08,Zimbabwe,Monitoring Cameras,1141
2018-10-08,Brazil,Monitoring Cameras,1355
2018-10-08,Brazil,Sensoric Cables,1460
2018-10-08,Zimbabwe,Fence,1514
2018-10-09,United States of America,Monitoring Cameras,1851
2018-10-09,United States of America,Monitoring Cameras,1950
2018-10-09,Germany,Fence,1577
2018-10-09,United States of America,Monitoring Cameras,1785
2018-10-09,Zimbabwe,Monitoring Cameras,1263
2018-10-09,Brazil,Fence,1882
2018-10-09,Germany,Sensoric Cables,1417
2018-10-10,Sweden,Monitoring Cameras,1353
2018-10-10,Germany,Sensoric Cables,1515
2018-10-10,Brazil,Sensoric Cables,1567
2018-10-10,Zimbabwe,Sensoric Cables,1720
2018-10-11,Spain,Fence,1166
2018-10-11,Sweden,Fence,1412
2018-10-11,Zimbabwe,Monitoring Cameras,1521
2018-10-11,Germany,Fence,1025
2018-10-11,Germany,Fence,1140
2018-10-11,Sweden,Monitoring Cameras,1500
2018-10-11,Spain,Monitoring Cameras,1049
2018-10-11,Germany,Sensoric Cables,1805
2018-10-12,Sweden,Fence,1863
2018-10-12,Zimbabwe,Monitoring Cameras,1336
2018-10-12,Germany,Sensoric Cables,1990
2018-10-12,United States of America,Sensoric Cables,1589
2018-10-12,Germany,Monitoring Cameras,1027
2018-10-13,Spain,Fence,1084
2018-10-13,Spain,Fence,1343
2018-10-13,Spain,Sensoric Cables,1289
2018-10-13,Brazil,Sensoric Cables,1411
